"","event.id","player_id","lastname","firstname","position","team_id","x_loc","y_loc","radius","game_clock","shot_clock","quarter","pointsMadeAfterRebound","homeOrVisitor","rebounder","velocity","GameID"
"143",54,"203484","Caldwell-Pope","Kentavious","G",1610612765,49.28861,14.18832,0,392.15,22.21,1,1,2,"Gasol",2.99994595914927,"0021500025"
"144",63,"2200","Gasol","Pau","F-C",1610612741,28.48501,20.4402,0,301.88,20.9,1,1,2,"Butler",10.8237807073512,"0021500025"
"145",63,"202710","Butler","Jimmy","G-F",1610612741,33.08011,33.90089,0,301.88,20.9,1,1,2,"Butler",14.9113033783601,"0021500025"
"146",63,"-1","ball",NA,NA,NA,35.10835,34.57789,4.24724,301.88,20.9,1,1,2,"Butler",49.1934082770356,"0021500025"
"147",63,"203083","Drummond","Andre","C",1610612765,45.74555,21.59445,0,301.88,20.9,1,1,2,"Butler",12.5362375314675,"0021500025"
"148",63,"202734","Moore","E'Twaun","G",1610612741,48.71839,10.55487,0,301.88,20.9,1,1,2,"Butler",14.8227985056517,"0021500025"
"149",63,"201565","Rose","Derrick","G",1610612741,53.30563,44.00575,0,301.88,20.9,1,1,2,"Butler",16.8060427754318,"0021500025"
"150",63,"202704","Jackson","Reggie","G",1610612765,56.18181,28.87962,0,301.88,20.9,1,1,2,"Butler",7.00377038330433,"0021500025"
"151",63,"202694","Morris","Marcus","F",1610612765,60.90974,19.92205,0,301.88,20.9,1,1,2,"Butler",11.3591946555514,"0021500025"
"152",63,"202703","Mirotic","Nikola","F",1610612741,63.67122,36.53018,0,301.88,20.9,1,1,2,"Butler",15.2191007300478,"0021500025"
"153",63,"203484","Caldwell-Pope","Kentavious","G",1610612765,67.65161,21.08716,0,301.88,20.9,1,1,2,"Butler",9.29537801897585,"0021500025"
"154",63,"101141","Ilyasova","Ersan","F",1610612765,68.58171,34.10487,0,301.88,20.9,1,1,2,"Butler",11.7588806722459,"0021500025"
"155",73,"202734","Moore","E'Twaun","G",1610612741,1.568,19.60452,0,257.94,16.92,1,1,1,"Jackson",4.21104411135848,"0021500025"
"156",73,"-1","ball",NA,NA,NA,3.94583,21.702,10.22384,257.94,16.92,1,1,1,"Jackson",3.2743071195717,"0021500025"
"157",73,"201149","Noah","Joakim","C",1610612741,5.96521,23.52925,0,257.94,16.92,1,1,1,"Jackson",4.40388832808507,"0021500025"
"158",73,"202703","Mirotic","Nikola","F",1610612741,6.15206,22.84836,0,257.94,16.92,1,1,1,"Jackson",8.49902644079802,"0021500025"
"159",73,"203484","Caldwell-Pope","Kentavious","G",1610612765,19.99889,40.2157,0,257.94,16.92,1,1,1,"Jackson",5.27609770309907,"0021500025"
"160",73,"202694","Morris","Marcus","F",1610612765,29.10955,39.39103,0,257.94,16.92,1,1,1,"Jackson",2.01057810502477,"0021500025"
"161",73,"203083","Drummond","Andre","C",1610612765,34.16198,25.98294,0,257.94,16.92,1,1,1,"Jackson",0.833586521172834,"0021500025"
"162",73,"101141","Ilyasova","Ersan","F",1610612765,3.85274,22.57201,0,257.94,16.92,1,1,1,"Jackson",4.30776767749555,"0021500025"
"163",73,"202704","Jackson","Reggie","G",1610612765,5.84022,19.6642,0,257.94,16.92,1,1,1,"Jackson",4.1001530768864,"0021500025"
"164",73,"201166","Brooks","Aaron","G",1610612741,10.84408,13.99972,0,257.94,16.92,1,1,1,"Jackson",2.6658273611637,"0021500025"
"165",73,"202710","Butler","Jimmy","G-F",1610612741,8.09578,30.23915,0,257.94,16.92,1,1,1,"Jackson",2.24680375147778,"0021500025"
"166",75,"202734","Moore","E'Twaun","G",1610612741,3.09066,12.08395,0,256.82,15.95,1,1,1,"Ilyasova",8.43209776130936,"0021500025"
"167",75,"101141","Ilyasova","Ersan","F",1610612765,3.1393,22.8551,0,256.82,15.95,1,1,1,"Ilyasova",4.99923975626645,"0021500025"
"168",75,"202703","Mirotic","Nikola","F",1610612741,3.72164,22.7988,0,256.82,15.95,1,1,1,"Ilyasova",7.09853330471479,"0021500025"
"169",75,"-1","ball",NA,NA,NA,5.4867,24.64884,7.43301,256.82,15.95,1,1,1,"Ilyasova",30.7299208839142,"0021500025"
"170",75,"202704","Jackson","Reggie","G",1610612765,6.10944,16.15193,0,256.82,15.95,1,1,1,"Ilyasova",4.12160929441256,"0021500025"
"171",75,"202710","Butler","Jimmy","G-F",1610612741,7.07073,29.34172,0,256.82,15.95,1,1,1,"Ilyasova",2.75777735034312,"0021500025"
"172",75,"201149","Noah","Joakim","C",1610612741,7.48596,21.70544,0,256.82,15.95,1,1,1,"Ilyasova",3.88352725061328,"0021500025"
"173",75,"201166","Brooks","Aaron","G",1610612741,11.11907,14.15543,0,256.82,15.95,1,1,1,"Ilyasova",6.52762666988724,"0021500025"
"174",75,"203484","Caldwell-Pope","Kentavious","G",1610612765,21.61111,37.78865,0,256.82,15.95,1,1,1,"Ilyasova",3.38120691342764,"0021500025"
"175",75,"202694","Morris","Marcus","F",1610612765,30.52492,38.94019,0,256.82,15.95,1,1,1,"Ilyasova",0.492737759868368,"0021500025"
"176",75,"203083","Drummond","Andre","C",1610612765,30.83708,26.24194,0,256.82,15.95,1,1,1,"Ilyasova",6.2299696478005,"0021500025"
"177",77,"202703","Mirotic","Nikola","F",1610612741,62.59302,23.34334,0,245.61,18.52,1,1,2,"Brooks",3.37651619204671,"0021500025"
"178",77,"101141","Ilyasova","Ersan","F",1610612765,71.93861,23.72555,0,245.61,18.52,1,1,2,"Brooks",4.95917217251767,"0021500025"
"179",77,"201149","Noah","Joakim","C",1610612741,72.57744,31.48252,0,245.61,18.52,1,1,2,"Brooks",10.5114742729545,"0021500025"
"180",77,"-1","ball",NA,NA,NA,74.37839,37.69271,1.92416,245.61,18.52,1,1,2,"Brooks",15.7569966409155,"0021500025"
"181",77,"201166","Brooks","Aaron","G",1610612741,76.95709,39.07037,0,245.61,18.52,1,1,2,"Brooks",7.29036641016448,"0021500025"
"182",77,"203484","Caldwell-Pope","Kentavious","G",1610612765,78.24355,37.98545,0,245.61,18.52,1,1,2,"Brooks",7.55684302847973,"0021500025"
"183",77,"203083","Drummond","Andre","C",1610612765,80.73912,32.41621,0,245.61,18.52,1,1,2,"Brooks",2.66859969565292,"0021500025"
"184",77,"202734","Moore","E'Twaun","G",1610612741,83.38086,1.25299,0,245.61,18.52,1,1,2,"Brooks",2.28655551379056,"0021500025"
"185",77,"202704","Jackson","Reggie","G",1610612765,83.52927,20.23841,0,245.61,18.52,1,1,2,"Brooks",2.40386075067785,"0021500025"
"186",77,"202694","Morris","Marcus","F",1610612765,84.35653,40.09053,0,245.61,18.52,1,1,2,"Brooks",1.7798855032961,"0021500025"
